Program;Network;Mean_Weekly_Numberof Viewers_inMillions
The Originals;CW;1,364
Whose Line Is It Anyway?;CW;1,312
Family Guy (Enc);FOX;1,292
Bob’s Burgers (Sun 7 PM);FOX;1,241
iZombie;CW;1,241
Jane The Virgin;CW;1,231
Showtime At The Apollo (Sat);FOX;1,217
Premier Boxing Champions Primetime;FOX;1,206
Brooklyn Nine-Nine;FOX;1,198
MasterChef Jr (Sat);FOX;1,151
Whose Line Is It Anyway? (Enc);CW;1,130
LA To Vegas (Sun);FOX;1,124
Bob’s Burgers (Enc);FOX;1,095
Penn & Teller: Fool Us (Enc);CW;1,086
Ghosted (Enc);FOX;1,033
Dynasty;CW;0,968
Masters Of Illusion (Enc);CW;0,957
Masters Of Illusion;CW;0,954
Crazy Ex-Girlfriend;CW;0,796
Life Sentence;CW;0,710
